	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
EMR	0.1	0.02	0.137	0.103	0.262	0.195	0.077	0.523
CTAS	0.348	0.064	0.353	0.104	0.229	0.619	0.282	1.543
GMCR	-0.611	-0.179	-0.534	0.29	0.569	-0.619	-0.316	-0.939
GPC	0.136	0.027	0.15	0.098	0.224	0.277	0.121	0.669
DVA	0.125	0.025	0.107	0.127	0.259	0.196	0.096	0.414
MNST	0.192	0.037	0.197	0.143	0.316	0.262	0.119	0.622
DUK	0.005	0.001	0.006	0.068	0.171	0.015	0.006	0.038
RTN	-0.056	-0.012	-0.067	0.086	0.205	-0.141	-0.059	-0.327
MTB	-0.169	-0.038	-0.21	0.089	0.22	-0.426	-0.173	-0.954
HST	-0.167	-0.037	-0.189	0.17	0.398	-0.221	-0.094	-0.476
CF	0.449	0.081	0.403	0.186	0.387	0.435	0.209	1.04
AVY	-0.082	-0.017	-0.072	0.123	0.253	-0.144	-0.07	-0.288
R	0.218	0.042	0.242	0.125	0.286	0.337	0.147	0.846
FOX	0.57	0.099	0.705	0.099	0.234	0.995	0.423	3.002
NUE	0.41	0.074	0.437	0.132	0.296	0.564	0.252	1.473
FMC	0.001	0.0	0.0	0.154	0.288	0.001	0.0	0.002
GS	-0.078	-0.016	-0.072	0.132	0.279	-0.127	-0.06	-0.26
AIG	0.214	0.041	0.274	0.114	0.277	0.365	0.15	0.989
CTXS	-0.24	-0.056	-0.375	0.159	0.456	-0.35	-0.122	-0.822
OXY	0.209	0.04	0.214	0.146	0.323	0.277	0.125	0.664
EFX	0.105	0.021	0.116	0.093	0.212	0.228	0.099	0.546
TSN	0.158	0.031	0.17	0.104	0.234	0.301	0.133	0.726
SLG	0.042	0.008	0.05	0.121	0.286	0.072	0.03	0.175
LNC	-0.092	-0.02	-0.092	0.167	0.364	-0.12	-0.055	-0.252
GME	-0.331	-0.081	-0.336	0.171	0.376	-0.474	-0.215	-0.893
EL	0.363	0.067	0.45	0.112	0.268	0.596	0.25	1.678
MAT	-0.048	-0.01	-0.074	0.107	0.293	-0.095	-0.035	-0.253
PNR	0.756	0.125	0.829	0.134	0.3	0.936	0.417	2.757
CME	-0.058	-0.012	-0.082	0.113	0.294	-0.112	-0.043	-0.281
BAC	0.008	0.001	0.012	0.175	0.465	0.009	0.003	0.026
SEE	0.329	0.061	0.279	0.181	0.367	0.34	0.167	0.76
