	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
CELG	0.153	0.181	2.79	0.139	0.387	1.298	0.467	7.201
DIS	-0.138	-0.159	-0.449	0.13	0.24	-1.227	-0.665	-1.872
PSA	-0.001	-0.001	-0.006	0.091	0.209	-0.012	-0.005	-0.028
DO	0.006	0.007	0.082	0.162	0.523	0.047	0.014	0.158
GOOGL	0.075	0.088	1.03	0.07	0.2	1.255	0.443	5.137
XOM	0.06	0.071	0.324	0.118	0.24	0.599	0.296	1.347
CBS	-0.175	-0.201	-0.749	0.101	0.24	-1.981	-0.834	-3.112
KSS	-0.221	-0.253	-0.724	0.164	0.339	-1.546	-0.747	-2.136
SJM	-0.006	-0.007	-0.029	0.084	0.165	-0.092	-0.047	-0.176
FCX	0.297	0.355	2.164	0.266	0.516	1.331	0.687	4.187
MHFI	-0.019	-0.022	-0.11	0.13	0.297	-0.171	-0.075	-0.369
TROW	-0.046	-0.053	-0.216	0.123	0.259	-0.436	-0.206	-0.832
CTSH	0.093	0.109	3.082	0.078	0.275	1.403	0.399	11.204
IVZ	-0.024	-0.028	-0.117	0.136	0.281	-0.212	-0.102	-0.415
WEC	-0.047	-0.055	-0.264	0.1	0.234	-0.55	-0.236	-1.131
TXT	0.19	0.224	3.788	0.114	0.305	1.961	0.736	12.399
MRO	0.054	0.064	0.399	0.147	0.344	0.434	0.186	1.16
EXPD	0.113	0.134	1.008	0.085	0.197	1.574	0.68	5.115
CMCSA	0.028	0.033	0.161	0.116	0.247	0.292	0.137	0.655
TAP	0.085	0.1	0.778	0.089	0.217	1.124	0.462	3.579
NFX	-0.085	-0.099	-0.976	0.093	0.514	-1.066	-0.193	-1.898
CAT	0.031	0.036	0.231	0.125	0.303	0.29	0.119	0.763
PRU	-0.021	-0.024	-0.117	0.157	0.355	-0.155	-0.069	-0.33
M	0.079	0.093	1.05	0.103	0.29	0.907	0.323	3.615
EIX	0.012	0.015	0.086	0.098	0.232	0.152	0.064	0.369
SIG	0.043	0.051	0.6	0.063	0.193	0.806	0.265	3.1
AFL	-0.001	-0.001	-0.004	0.093	0.173	-0.014	-0.007	-0.026
AEP	-0.08	-0.093	-0.249	0.119	0.204	-0.784	-0.458	-1.221
UNM	-0.002	-0.002	-0.008	0.141	0.266	-0.016	-0.009	-0.031
WBA	0.076	0.089	0.75	0.073	0.186	1.209	0.478	4.021
ADBE	0.084	0.098	0.543	0.104	0.223	0.946	0.442	2.429
PCL	0.011	0.013	0.064	0.089	0.192	0.152	0.07	0.333
ETN	-0.002	-0.002	-0.026	0.083	0.264	-0.032	-0.01	-0.1
WYN	0.105	0.124	1.209	0.089	0.228	1.393	0.545	5.294
DE	0.115	0.136	0.624	0.11	0.213	1.239	0.638	2.921
STJ	0.111	0.131	6.815	0.107	0.422	1.219	0.311	16.15
STT	0.016	0.019	0.37	0.069	0.284	0.275	0.067	1.303
UA	0.108	0.127	0.465	0.135	0.241	0.942	0.528	1.925
APH	0.09	0.106	0.982	0.115	0.297	0.925	0.358	3.301
BLK	-0.13	-0.15	-0.728	0.083	0.226	-1.791	-0.664	-3.218
PRGO	0.084	0.099	1.263	0.112	0.328	0.88	0.301	3.848
SWN	-0.083	-0.096	-0.519	0.137	0.369	-0.703	-0.262	-1.408
BEN	-0.057	-0.066	-0.338	0.106	0.26	-0.626	-0.255	-1.3
MCO	0.042	0.05	0.406	0.082	0.217	0.607	0.23	1.866
XEC	0.068	0.079	3.529	0.077	0.331	1.03	0.241	10.65
FTR	-0.062	-0.073	-0.219	0.189	0.344	-0.384	-0.211	-0.638
SNA	-0.045	-0.052	-0.154	0.104	0.184	-0.505	-0.286	-0.836
GIS	0.04	0.047	0.398	0.065	0.174	0.73	0.272	2.282
RCL	0.009	0.01	0.087	0.102	0.29	0.103	0.036	0.301
BCR	0.06	0.071	0.372	0.11	0.236	0.645	0.3	1.572
VZ	0.093	0.109	0.838	0.044	0.1	2.496	1.089	8.313
DNB	0.156	0.184	0.943	0.128	0.252	1.438	0.73	3.741
MAC	0.096	0.113	0.547	0.126	0.254	0.894	0.443	2.148
PLD	-0.01	-0.012	-0.036	0.123	0.213	-0.101	-0.058	-0.171
BBY	-0.037	-0.043	-0.196	0.116	0.258	-0.374	-0.168	-0.76
F	0.073	0.085	0.499	0.111	0.247	0.768	0.347	2.015
REGN	0.218	0.258	3.318	0.17	0.423	1.515	0.611	7.844
IR	0.064	0.076	0.381	0.103	0.216	0.737	0.351	1.761
XEL	0.023	0.027	0.119	0.106	0.218	0.257	0.125	0.545
MLM	-0.174	-0.2	-0.96	0.165	0.605	-1.207	-0.33	-1.584
AIV	0.021	0.025	0.118	0.108	0.228	0.237	0.112	0.518
MDT	-0.064	-0.074	-0.33	0.097	0.221	-0.767	-0.338	-1.491
JPM	0.075	0.088	0.602	0.12	0.282	0.739	0.314	2.132
APD	0.125	0.147	0.813	0.113	0.233	1.306	0.632	3.483
NBL	0.004	0.005	0.101	0.102	0.419	0.056	0.013	0.241
CINF	-0.027	-0.031	-0.116	0.088	0.175	-0.355	-0.18	-0.665
ADI	0.082	0.096	0.315	0.145	0.25	0.668	0.387	1.259
BRK-B	0.037	0.043	0.126	0.109	0.182	0.401	0.24	0.692
IRM	0.013	0.015	0.072	0.088	0.188	0.176	0.082	0.383
DLTR	-0.024	-0.028	-0.083	0.116	0.204	-0.242	-0.138	-0.408
DOV	0.013	0.015	0.298	0.041	0.17	0.377	0.092	1.747
ATVI	0.124	0.146	7.217	0.088	0.321	1.661	0.455	22.469
NSC	0.053	0.062	0.724	0.073	0.219	0.846	0.284	3.301
CSCO	0.077	0.091	0.428	0.093	0.188	0.978	0.485	2.276
PEG	0.124	0.146	5.36	0.063	0.205	2.306	0.714	26.089
ESV	-0.051	-0.06	-0.489	0.156	0.517	-0.384	-0.116	-0.947
NTRS	0.048	0.056	0.553	0.074	0.209	0.761	0.27	2.644
LMT	0.007	0.008	0.037	0.087	0.18	0.101	0.049	0.209
MOS	0.044	0.051	0.261	0.172	0.371	0.299	0.139	0.702
A	-0.02	-0.023	-0.103	0.126	0.269	-0.189	-0.088	-0.383
CVS	0.001	0.001	0.004	0.109	0.194	0.013	0.007	0.023
