	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
ISRG	0.096	0.019	0.255	0.109	0.373	0.179	0.052	0.683
ETFC	0.003	0.0	0.01	0.153	0.557	0.005	0.001	0.018
TROW	0.452	0.081	0.762	0.091	0.244	0.889	0.334	3.122
AIZ	0.119	0.024	0.337	0.064	0.224	0.373	0.107	1.503
AMP	0.949	0.15	2.047	0.111	0.307	1.346	0.489	6.657
ROK	-0.047	-0.01	-0.083	0.119	0.349	-0.084	-0.028	-0.238
C	0.098	0.019	0.345	0.095	0.368	0.209	0.054	0.937
OI	0.002	0.0	0.007	0.072	0.296	0.006	0.001	0.024
PRU	0.728	0.121	1.864	0.108	0.321	1.123	0.378	5.8
SBUX	0.25	0.048	0.518	0.102	0.303	0.47	0.158	1.708
MO	0.192	0.037	0.433	0.057	0.176	0.658	0.212	2.449
APA	0.067	0.013	0.149	0.12	0.383	0.114	0.035	0.389
JWN	0.211	0.041	0.495	0.113	0.358	0.361	0.114	1.382
SPG	0.053	0.01	0.095	0.104	0.302	0.104	0.036	0.315
DVA	-0.09	-0.019	-0.182	0.077	0.245	-0.254	-0.079	-0.742
HRB	0.601	0.103	1.709	0.107	0.334	0.969	0.31	5.108
SWK	0.129	0.025	0.319	0.085	0.281	0.302	0.092	1.134
D	0.103	0.02	0.23	0.057	0.182	0.361	0.114	1.267
BIIB	-0.026	-0.005	-0.055	0.109	0.348	-0.051	-0.016	-0.16
HIG	0.514	0.091	1.39	0.101	0.315	0.897	0.288	4.4
ETN	-0.031	-0.006	-0.049	0.115	0.319	-0.057	-0.02	-0.156
COF	0.285	0.054	0.672	0.087	0.271	0.619	0.199	2.482
LEN	0.421	0.076	1.365	0.131	0.443	0.585	0.172	3.078
BK	0.003	0.0	0.006	0.093	0.29	0.007	0.002	0.022
SLB	0.303	0.057	1.496	0.093	0.374	0.611	0.152	3.993
GWW	0.125	0.025	0.273	0.087	0.273	0.286	0.091	1.0
PPG	-0.005	-0.001	-0.012	0.089	0.294	-0.013	-0.004	-0.043
PNR	0.244	0.047	0.578	0.114	0.36	0.409	0.13	1.602
DOV	0.023	0.004	0.041	0.111	0.319	0.044	0.015	0.13
URBN	0.089	0.018	0.199	0.073	0.231	0.249	0.078	0.86
WEC	-0.001	-0.0	-0.003	0.067	0.199	-0.005	-0.001	-0.016
ALL	0.177	0.034	0.36	0.062	0.185	0.561	0.188	1.945
UTX	0.005	0.001	0.01	0.088	0.271	0.012	0.004	0.039
NWL	0.22	0.042	0.66	0.08	0.277	0.532	0.154	2.382
AET	0.135	0.027	0.388	0.078	0.273	0.346	0.099	1.421
JCI	-0.219	-0.05	-0.517	0.093	0.346	-0.544	-0.146	-1.492
VAR	0.016	0.003	0.028	0.103	0.297	0.032	0.011	0.094
AON	0.146	0.029	0.306	0.064	0.197	0.449	0.147	1.555
HRL	0.02	0.004	0.047	0.059	0.198	0.07	0.021	0.239
SNA	0.077	0.015	0.149	0.101	0.304	0.154	0.051	0.492
DE	-0.04	-0.008	-0.073	0.086	0.255	-0.1	-0.034	-0.287
BDX	0.219	0.042	0.453	0.068	0.205	0.617	0.207	2.209
PFG	0.412	0.075	1.147	0.09	0.288	0.834	0.26	3.971
FLIR	0.034	0.007	0.115	0.061	0.241	0.116	0.029	0.479
UAL	0.543	0.095	1.568	0.126	0.403	0.752	0.236	3.886
EXPE	0.364	0.067	0.953	0.13	0.414	0.518	0.162	2.301
ES	-0.027	-0.005	-0.045	0.074	0.21	-0.078	-0.027	-0.217
LLL	-0.058	-0.012	-0.114	0.089	0.279	-0.138	-0.044	-0.409
SRCL	0.057	0.011	0.107	0.08	0.239	0.145	0.049	0.451
MKC	0.039	0.008	0.072	0.065	0.191	0.124	0.042	0.38
WAT	0.057	0.011	0.11	0.073	0.217	0.162	0.054	0.506
CAG	-0.178	-0.04	-0.32	0.063	0.193	-0.633	-0.208	-1.653
TAP	0.017	0.003	0.035	0.093	0.289	0.038	0.012	0.121
CME	-0.098	-0.021	-0.208	0.103	0.34	-0.208	-0.063	-0.614
BF-B	-0.016	-0.003	-0.029	0.084	0.245	-0.042	-0.014	-0.121
MET	0.246	0.047	0.967	0.089	0.338	0.53	0.139	2.857
VMC	-0.004	-0.0	-0.01	0.092	0.318	-0.009	-0.002	-0.032
NSC	0.222	0.043	0.603	0.079	0.265	0.539	0.162	2.274
HST	0.187	0.036	0.541	0.086	0.299	0.422	0.122	1.808
NEM	0.284	0.054	0.804	0.089	0.298	0.6	0.18	2.691
CAM	-0.004	-0.0	-0.008	0.128	0.392	-0.007	-0.002	-0.021
K	0.064	0.013	0.132	0.045	0.139	0.29	0.094	0.947
PG	0.035	0.007	0.069	0.042	0.13	0.169	0.055	0.532
GLW	0.02	0.004	0.076	0.055	0.229	0.077	0.018	0.333
CVC	-0.214	-0.049	-0.527	0.124	0.478	-0.395	-0.103	-1.101
DTE	0.039	0.008	0.084	0.068	0.213	0.12	0.038	0.393
ALXN	-0.279	-0.066	-0.414	0.151	0.421	-0.439	-0.157	-0.985
AVY	0.247	0.047	0.435	0.082	0.229	0.573	0.206	1.893
ARG	0.117	0.023	0.334	0.081	0.287	0.287	0.082	1.162
MUR	0.221	0.042	0.85	0.082	0.312	0.522	0.137	2.725
PCAR	0.131	0.026	0.302	0.095	0.303	0.276	0.086	0.996
WYN	0.449	0.081	0.898	0.124	0.354	0.651	0.228	2.536
SRE	0.103	0.02	0.186	0.065	0.186	0.32	0.111	0.997
AEE	-0.057	-0.012	-0.116	0.076	0.241	-0.161	-0.051	-0.483
F	-0.125	-0.027	-0.359	0.053	0.211	-0.519	-0.131	-1.701
